sku,component_id,quantity,component_cost
LAP001,CMP001,1,180
LAP001,CMP002,1,120
LAP001,CMP003,1,60
LAP001,CMP004,1,55
LAP001,CMP005,1,45
LAP001,CMP006,1,35
LAP001,CMP007,1,20
LAP002,CMP001,1,150
LAP002,CMP002,1,100
LAP002,CMP003,1,50
LAP002,CMP004,1,45
LAP002,CMP005,1,40
LAP002,CMP006,1,30
LAP002,CMP007,1,18
LAP003,CMP001,1,220
LAP003,CMP002,1,150
LAP003,CMP003,1,70
LAP003,CMP004,1,65
LAP003,CMP005,1,55
LAP003,CMP006,1,40
LAP003,CMP007,1,25
LAP004,CMP001,1,130
LAP004,CMP002,1,95
LAP004,CMP003,1,45
LAP004,CMP004,1,40
LAP004,CMP005,1,35
LAP004,CMP006,1,28
LAP004,CMP007,1,16
LAP005,CMP001,1,200
LAP005,CMP002,1,135
LAP005,CMP003,1,65
LAP005,CMP004,1,60
LAP005,CMP005,1,50
LAP005,CMP006,1,38
LAP005,CMP007,1,22
