warranty_id,sku,component_id,failure_type,failure_date
W001,LAP001,CMP001,Motherboard Failure,2025-02-14
W002,LAP001,CMP003,Battery Degradation,2025-04-20
W003,LAP001,CMP001,Motherboard Failure,2025-06-11
W004,LAP001,CMP002,Display Failure,2025-08-03
W005,LAP002,CMP003,Battery Degradation,2025-01-19
W006,LAP002,CMP004,SSD Failure,2025-03-27
W007,LAP002,CMP006,Keyboard Failure,2025-05-15
W008,LAP003,CMP001,Motherboard Failure,2025-02-08
W009,LAP003,CMP001,Motherboard Failure,2025-04-22
W010,LAP003,CMP002,Display Failure,2025-06-17
W011,LAP003,CMP003,Battery Degradation,2025-07-29
W012,LAP003,CMP004,SSD Failure,2025-09-05
W013,LAP004,CMP003,Battery Degradation,2024-11-12
W014,LAP004,CMP006,Keyboard Failure,2025-02-26
W015,LAP004,CMP007,Cooling Fan Failure,2025-05-09
W016,LAP005,CMP001,Motherboard Failure,2025-01-30
W017,LAP005,CMP002,Display Failure,2025-03-18
W018,LAP005,CMP002,Display Failure,2025-06-02
W019,LAP005,CMP003,Battery Degradation,2025-07-14
W020,LAP005,CMP004,SSD Failure,2025-08-21
